passenger_class,age,sex,surv
1st_class,adult,male,died
2nd_class,adult,female,died
3rd_class,child,male,died
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,died
1st_class,adult,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
3rd_class,adult,male,died
crew,adult,male,died
3rd_class,adult,female,survived
3rd_class,child,male,survived
2nd_class,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,survived
3rd_class,adult,female,died
3rd_class,adult,male,survived
3rd_class,adult,female,survived
crew,adult,male,survived
2nd_class,adult,male,survived
2nd_class,adult,female,died
2nd_class,adult,male,survived
3rd_class,child,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
2nd_class,child,female,died
1st_class,adult,male,died
2nd_class,adult,female,died
3rd_class,adult,female,survived
crew,adult,male,survived
2nd_class,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
2nd_class,adult,male,survived
crew,adult,male,survived
3rd_class,adult,female,survived
3rd_class,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
1st_class,adult,male,survived
3rd_class,adult,female,survived
1st_class,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
2nd_class,adult,female,died
1st_class,adult,female,died
2nd_class,adult,male,survived
crew,adult,male,died
crew,adult,male,survived
3rd_class,adult,male,survived
1st_class,adult,female,died
3rd_class,adult,male,survived
1st_class,adult,female,died
crew,adult,male,survived
2nd_class,adult,female,survived
crew,adult,male,survived
3rd_class,child,male,died
crew,adult,male,survived
1st_class,adult,male,survived
3rd_class,adult,female,died
crew,adult,male,survived
crew,adult,male,survived
1st_class,adult,male,died
crew,adult,male,survived
1st_class,adult,female,died
3rd_class,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
3rd_class,adult,female,died
1st_class,adult,female,died
crew,adult,male,survived
3rd_class,adult,male,survived
3rd_class,adult,female,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,died
1st_class,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
1st_class,adult,female,died
2nd_class,adult,male,survived
2nd_class,adult,female,died
3rd_class,adult,male,survived
crew,adult,male,survived
1st_class,adult,female,died
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
2nd_class,adult,female,died
crew,adult,male,survived
1st_class,adult,male,survived
crew,adult,male,died
crew,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
3rd_class,adult,male,died
1st_class,adult,male,survived
1st_class,adult,female,died
3rd_class,adult,male,survived
3rd_class,child,female,died
crew,adult,male,survived
crew,adult,male,died
crew,adult,male,died
3rd_class,adult,male,survived
crew,adult,male,survived
1st_class,adult,male,survived
3rd_class,adult,female,survived
crew,adult,male,survived
crew,adult,male,survived
crew,adult,male,died
crew,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,survived
2nd_class,adult,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,died
crew,adult,male,died
2nd_class,adult,male,survived
3rd_class,adult,female,survived
crew,adult,male,died
3rd_class,adult,female,survived
2nd_class,adult,female,died
3rd_class,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,survived
1st_class,adult,female,survived
1st_class,adult,female,died
3rd_class,adult,male,survived
3rd_class,adult,male,died
crew,adult,male,died
crew,adult,male,survived
2nd_class,adult,male,survived
crew,adult,female,died
crew,adult,male,survived
1st_class,adult,female,died
crew,adult,male,survived
crew,adult,male,survived
3rd_class,child,female,survived
2nd_class,adult,male,survived
3rd_class,adult,male,survived
2nd_class,adult,female,died
3rd_class,adult,female,died
crew,adult,male,survived
2nd_class,adult,female,died
crew,adult,male,survived
crew,adult,female,died
3rd_class,adult,male,survived
3rd_class,adult,female,survived
crew,adult,male,survived
1st_class,adult,female,died
crew,adult,male,died
3rd_class,adult,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,died
crew,adult,male,died
2nd_class,adult,female,died
2nd_class,adult,male,survived
1st_class,adult,female,died
crew,adult,male,survived
3rd_class,adult,female,survived
1st_class,adult,female,died
3rd_class,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,survived
crew,adult,male,survived
3rd_class,adult,male,survived
crew,adult,male,died
3rd_class,adult,male,survived
