,algorithm,auc,average_rule_width,dataset_name,fraction_classes,fraction_overlap,fraction_uncovered,rule_cutoff,ruleset_length
0,pyARC,0.8379698390343069,2.3684210526315788,anneal,0.4,0.06239958871537812,0.1428571428571428,15,19
1,pyARC,0.7284017442851477,2.3333333333333335,anneal,0.5,0.6851851851851851,0.033333333333333326,15,3
2,pyARC,0.8781559004047759,2.4545454545454546,anneal,0.4,0.030169830169830162,0.25274725274725274,15,11
3,pyARC,0.9299477365694256,2.125,anneal,0.6,0.015293040293040287,0.15384615384615374,15,16
4,pyARC,0.883564711890885,2.433333333333333,anneal,0.8,0.008939974457215831,0.06666666666666665,15,30
5,pyARC,0.777907145598417,2.3333333333333335,anneal,0.4,0.6185185185185185,0.06666666666666665,15,3
6,pyARC,0.9550195114853789,2.25,anneal,0.8,0.021481481481481483,0.11111111111111105,15,16
7,pyARC,0.9732386706120882,2.090909090909091,anneal,0.8,0.014300306435137885,0.1123595505617978,15,22
8,pyARC,0.9940476190476191,2.423076923076923,anneal,1.0,0.008076923076923079,0.09090909090909083,15,26
9,pyARC,0.8201335388072822,2.142857142857143,anneal,0.4,0.20562770562770563,0.10227272727272729,15,7
0,pyARC,0.9733333333333333,1.75,iris,1.0,0.01111111111111111,0.2666666666666667,20,4
1,pyARC,0.9666666666666668,1.6666666666666667,iris,1.0,0.04444444444444444,0.4,20,3
2,pyARC,0.9500000000000001,1.3333333333333333,iris,1.0,0.0,0.0,20,3
3,pyARC,0.9666666666666668,1.5,iris,1.0,0.0,0.4,20,2
4,pyARC,0.9666666666666668,1.5,iris,1.0,0.0,0.4,20,2
5,pyARC,0.9166666666666666,1.0,iris,1.0,0.0,0.33333333333333337,20,2
6,pyARC,0.9666666666666667,1.75,iris,1.0,0.0,0.4,20,4
7,pyARC,1.0,1.0,iris,1.0,0.0,0.33333333333333337,20,2
8,pyARC,1.0,1.3333333333333333,iris,1.0,0.02222222222222222,0.33333333333333337,20,3
9,pyARC,1.0,1.6666666666666667,iris,1.0,0.0,0.2666666666666667,20,3
0,pyARC,0.9332305312697469,3.0588235294117645,lymph,0.75,0.0347222222222222,0.11111111111111116,20,17
1,pyARC,0.8541666666666667,3.138888888888889,lymph,1.5,0.011791383219954647,0.0,20,36
2,pyARC,0.9270833333333333,2.6363636363636362,lymph,1.5,0.1285714285714286,0.0,20,11
3,pyARC,0.7916666666666667,3.0357142857142856,lymph,1.5,0.04894179894179892,0.0,20,28
4,pyARC,0.9636243386243386,2.8,lymph,1.0,0.049523809523809546,0.06666666666666665,20,15
5,pyARC,1.0,3.272727272727273,lymph,1.5,0.01474567099567098,0.0,20,33
6,pyARC,0.84375,3.269230769230769,lymph,1.5,0.0417582417582417,0.0,20,26
7,pyARC,0.8820546737213405,3.3055555555555554,lymph,1.0,0.01608465608465608,0.1333333333333333,20,36
8,pyARC,0.9360677083333333,2.5454545454545454,lymph,0.75,0.19772727272727272,0.0625,20,11
9,pyARC,0.8854166666666667,3.1875,lymph,1.5,0.054867511520737426,0.0,20,32
0,DUSM,0.8006079367723545,1.6666666666666667,anneal,0.2,0.018315018315018312,0.46153846153846145,20,3
