,algorithm,auc,average_rule_width,dataset_name,fraction_classes,fraction_overlap,fraction_uncovered,rule_cutoff,ruleset_length
0,RUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
1,RUSM,0.5,0.0,anneal,0.25,0.0,1.0,15,0
2,RUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
3,RUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
4,RUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
5,RUSM,0.7795307172062726,2.0,anneal,0.2,0.011111111111111112,0.5,15,2
6,RUSM,0.6987773989022383,2.0,anneal,0.2,0.0,0.6444444444444444,15,1
7,RUSM,0.8127032260905803,2.0,anneal,0.2,0.02247191011235955,0.4382022471910112,15,3
8,RUSM,0.5,0.0,anneal,0.25,0.0,1.0,15,0
9,RUSM,0.7770162864945831,2.0,anneal,0.2,0.0,0.5,15,3
10,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
11,DUSM,0.5,0.0,anneal,0.25,0.0,1.0,15,0
12,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
13,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
14,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
15,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
16,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
17,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
18,DUSM,0.5,0.0,anneal,0.25,0.0,1.0,15,0
19,DUSM,0.5,0.0,anneal,0.2,0.0,1.0,15,0
20,SLS,0.7822033692148634,2.0,anneal,0.2,0.05494505494505495,0.4945054945054944,15,5
21,SLS,0.8736827936112499,1.8,anneal,0.25,0.04666666666666667,0.34444444444444444,15,5
22,SLS,0.8190125043298456,2.0,anneal,0.2,0.038461538461538464,0.4285714285714285,15,4
23,SLS,0.8006079367723545,2.0,anneal,0.2,0.08131868131868132,0.46153846153846145,15,5
24,SLS,0.8105896857847474,1.8571428571428572,anneal,0.2,0.057142857142857134,0.4444444444444444,15,7
25,SLS,0.8105896857847474,2.0,anneal,0.2,0.05333333333333333,0.4444444444444444,15,6
26,SLS,0.8292250669318323,2.0,anneal,0.2,0.09222222222222222,0.4111111111111111,15,5
27,SLS,0.8189572906123921,2.0,anneal,0.2,0.029962546816479398,0.4269662921348315,15,4
28,SLS,0.8420240985700096,2.0,anneal,0.25,0.04816017316017316,0.3977272727272727,15,7
29,SLS,0.802199585266818,2.0,anneal,0.2,0.041666666666666664,0.4545454545454546,15,6
30,DLS,0.684045675574911,2.0,anneal,0.2,0.0,0.6703296703296703,15,1
31,DLS,0.6710073801271821,2.0,anneal,0.25,0.0,0.7,15,1
32,DLS,0.6472365404599287,2.0,anneal,0.2,0.0,0.7362637362637363,15,1
33,DLS,0.684045675574911,2.0,anneal,0.2,0.0,0.6703296703296703,15,1
34,DLS,0.6490830491766788,2.0,anneal,0.2,0.0,0.7333333333333334,15,1
35,DLS,0.7112009863336282,2.0,anneal,0.2,0.0,0.6222222222222222,15,1
36,DLS,0.6987773989022383,2.0,anneal,0.2,0.0,0.6444444444444444,15,1
37,DLS,0.7439085163506527,1.5,anneal,0.2,0.0,0.5617977528089888,15,2
38,DLS,0.6613321219669857,2.0,anneal,0.25,0.0,0.7159090909090908,15,1
39,DLS,0.6825789160987026,2.0,anneal,0.2,0.0,0.6704545454545454,15,1
40,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
41,RUSM,0.96,2.3333333333333335,iris,1.0,0.0,0.33333333333333337,20,3
42,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
43,RUSM,0.9933333333333333,2.0,iris,1.0,0.0,0.1333333333333333,20,3
44,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
45,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
46,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
47,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
48,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
49,RUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
50,DUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
51,DUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
52,DUSM,0.9500000000000001,2.3333333333333335,iris,1.0,0.0,0.0,20,3
53,DUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
54,DUSM,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
55,DUSM,0.9366666666666666,2.0,iris,1.0,0.0,0.1333333333333333,20,3
56,DUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
57,DUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
58,DUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
59,DUSM,0.5,0.0,iris,0.3333333333333333,0.0,1.0,20,0
60,SLS,0.9733333333333333,2.4444444444444446,iris,1.0,0.0611111111111111,0.2666666666666667,20,9
61,SLS,0.98,2.5454545454545454,iris,1.0,0.06303030303030302,0.2666666666666667,20,11
62,SLS,0.9500000000000001,2.2,iris,1.0,0.06000000000000001,0.0,20,5
63,SLS,0.9933333333333333,2.75,iris,1.0,0.07857142857142856,0.1333333333333333,20,8
64,SLS,0.98,2.5714285714285716,iris,1.0,0.073015873015873,0.2666666666666667,20,7
65,SLS,0.9366666666666666,2.142857142857143,iris,1.0,0.06349206349206349,0.1333333333333333,20,7
66,SLS,0.9666666666666668,2.625,iris,1.0,0.0857142857142857,0.4,20,8
67,SLS,0.9666666666666667,2.3333333333333335,iris,1.0,0.06666666666666667,0.4,20,9
68,SLS,1.0,2.2,iris,1.0,0.09925925925925927,0.1333333333333333,20,10
69,SLS,1.0,2.142857142857143,iris,1.0,0.06666666666666665,0.2666666666666667,20,7
70,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
71,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
72,DLS,0.9500000000000001,2.25,iris,1.0,0.02222222222222222,0.0,20,4
73,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
74,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
75,DLS,0.9366666666666666,2.0,iris,1.0,0.0,0.1333333333333333,20,3
76,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
77,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
78,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
79,DLS,0.8333333333333334,1.0,iris,0.6666666666666666,0.0,0.6666666666666667,20,1
80,RUSM,0.5,0.0,lymph,0.25,0.0,1.0,20,0
81,RUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
82,RUSM,0.7395833333333334,2.0,lymph,1.0,0.0,0.7142857142857143,20,5
83,RUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
84,RUSM,0.5,0.0,lymph,0.3333333333333333,0.0,1.0,20,0
85,RUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
86,RUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
87,RUSM,0.5,0.0,lymph,0.3333333333333333,0.0,1.0,20,0
88,RUSM,0.5,0.0,lymph,0.25,0.0,1.0,20,0
89,RUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
90,DUSM,0.5,0.0,lymph,0.25,0.0,1.0,20,0
91,DUSM,0.625,2.0,lymph,1.0,0.0,0.8571428571428572,20,3
92,DUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
93,DUSM,0.875,2.0,lymph,1.0,0.011904761904761904,0.5714285714285714,20,4
94,DUSM,0.5,0.0,lymph,0.3333333333333333,0.0,1.0,20,0
95,DUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
96,DUSM,0.5,0.0,lymph,0.5,0.0,1.0,20,0
97,DUSM,0.5,0.0,lymph,0.3333333333333333,0.0,1.0,20,0
98,DUSM,0.5,0.0,lymph,0.25,0.0,1.0,20,0
99,DUSM,0.75,2.0,lymph,0.5,0.0,0.7142857142857143,20,1
100,SLS,0.8039946618377991,2.0,lymph,0.5,0.011904761904761906,0.5555555555555556,20,8
101,SLS,0.84375,1.875,lymph,1.0,0.0,0.5714285714285714,20,8
102,SLS,0.7916666666666667,1.9,lymph,1.0,0.0015873015873015873,0.6428571428571429,20,10
103,SLS,0.8125,2.0,lymph,1.0,0.0,0.6428571428571429,20,4
104,SLS,0.8009259259259259,2.0,lymph,0.6666666666666666,0.008888888888888889,0.33333333333333337,20,6
105,SLS,0.8958333333333333,1.8888888888888888,lymph,1.0,0.003968253968253968,0.5,20,9
106,SLS,0.8958333333333334,2.0,lymph,1.0,0.001984126984126984,0.5,20,9
107,SLS,0.8346560846560847,2.0,lymph,0.6666666666666666,0.012698412698412697,0.5333333333333333,20,7
108,SLS,0.73046875,2.0,lymph,0.5,0.020833333333333332,0.375,20,9
109,SLS,0.875,2.0,lymph,1.0,0.006802721088435373,0.5,20,7
110,DLS,0.5929038281979458,2.0,lymph,0.5,0.0,0.8888888888888888,20,1
111,DLS,0.5833333333333333,2.0,lymph,1.0,0.0,0.9285714285714286,20,1
112,DLS,0.5833333333333333,2.0,lymph,1.0,0.0,0.9285714285714286,20,1
113,DLS,0.5833333333333333,2.0,lymph,1.0,0.0,0.9285714285714286,20,1
114,DLS,0.4603174603174603,2.0,lymph,0.6666666666666666,0.0,0.9333333333333333,20,1
115,DLS,0.5,2.0,lymph,0.5,0.0,1.0,20,1
116,DLS,0.5833333333333333,2.0,lymph,1.0,0.0,0.9285714285714286,20,1
117,DLS,0.5115740740740741,2.0,lymph,0.3333333333333333,0.0,0.8666666666666667,20,1
118,DLS,0.6145833333333334,2.0,lymph,0.5,0.0,0.75,20,1
119,DLS,0.5833333333333333,2.0,lymph,1.0,0.0,0.9285714285714286,20,1
