,current_lambda_param,current_params,iteration,loss
0,None,"{'l1': 778, 'l2': 220, 'l3': 86, 'l4': 210, 'l5': 807, 'l6': 204, 'l7': 822}",-1,0.9732510288065844
1,l1,"{'l1': 233.65843621399176, 'l2': 220, 'l3': 86, 'l4': 210, 'l5': 807, 'l6': 204, 'l7': 822}",0,0.0
2,l2,"{'l1': 233.65843621399176, 'l2': 39.97942386831275, 'l3': 86, 'l4': 210, 'l5': 807, 'l6': 204, 'l7': 822}",0,0.0
3,l3,"{'l1': 233.65843621399176, 'l2': 39.97942386831275, 'l3': 228.7860082304527, 'l4': 210, 'l5': 807, 'l6': 204, 'l7': 822}",0,0.0
4,l4,"{'l1': 233.65843621399176, 'l2': 39.97942386831275, 'l3': 228.7860082304527, 'l4': 261.9794238683127, 'l5': 807, 'l6': 204, 'l7': 822}",0,0.0
5,l5,"{'l1': 233.65843621399176, 'l2': 39.97942386831275, 'l3': 228.7860082304527, 'l4': 261.9794238683127, 'l5': 20.489711934156375, 'l6': 204, 'l7': 822}",0,0.0
6,l6,"{'l1': 233.65843621399176, 'l2': 39.97942386831275, 'l3': 228.7860082304527, 'l4': 261.9794238683127, 'l5': 20.489711934156375, 'l6': 267.156378600823, 'l7': 822}",0,0.0
7,l7,"{'l1': 233.65843621399176, 'l2': 39.97942386831275, 'l3': 228.7860082304527, 'l4': 261.9794238683127, 'l5': 20.489711934156375, 'l6': 267.156378600823, 'l7': 267.156378600823}",0,0.0
8,l1,"{'l1': 9.662094192958389, 'l2': 39.97942386831275, 'l3': 228.7860082304527, 'l4': 261.9794238683127, 'l5': 20.489711934156375, 'l6': 267.156378600823, 'l7': 267.156378600823}",1,0.0
9,l2,"{'l1': 9.662094192958389, 'l2': 174.10653863740285, 'l3': 228.7860082304527, 'l4': 261.9794238683127, 'l5': 20.489711934156375, 'l6': 267.156378600823, 'l7': 267.156378600823}",1,0.0
10,l3,"{'l1': 9.662094192958389, 'l2': 174.10653863740285, 'l3': 231.66209419295836, 'l4': 261.9794238683127, 'l5': 20.489711934156375, 'l6': 267.156378600823, 'l7': 267.156378600823}",1,0.9732510288065844
11,l4,"{'l1': 9.662094192958389, 'l2': 174.10653863740285, 'l3': 231.66209419295836, 'l4': 9.662094192958389, 'l5': 20.489711934156375, 'l6': 267.156378600823, 'l7': 267.156378600823}",1,0.0
12,l5,"{'l1': 9.662094192958389, 'l2': 174.10653863740285, 'l3': 231.66209419295836, 'l4': 9.662094192958389, 'l5': 388.32418838591684, 'l6': 267.156378600823, 'l7': 267.156378600823}",1,0.9732510288065844
13,l6,"{'l1': 9.662094192958389, 'l2': 174.10653863740285, 'l3': 231.66209419295836, 'l4': 9.662094192958389, 'l5': 388.32418838591684, 'l6': 386.51394604481027, 'l7': 267.156378600823}",1,0.0
14,l7,"{'l1': 9.662094192958389, 'l2': 174.10653863740285, 'l3': 231.66209419295836, 'l4': 9.662094192958389, 'l5': 388.32418838591684, 'l6': 386.51394604481027, 'l7': 259.8139003200731}",1,0.9732510288065844
15,l1,"{'l1': 41.78402682517908, 'l2': 174.10653863740285, 'l3': 231.66209419295836, 'l4': 9.662094192958389, 'l5': 388.32418838591684, 'l6': 386.51394604481027, 'l7': 259.8139003200731}",2,0.0
16,l2,"{'l1': 41.78402682517908, 'l2': 34.204694406340494, 'l3': 231.66209419295836, 'l4': 9.662094192958389, 'l5': 388.32418838591684, 'l6': 386.51394604481027, 'l7': 259.8139003200731}",2,0.0
17,l3,"{'l1': 41.78402682517908, 'l2': 34.204694406340494, 'l3': 369.0092973632069, 'l4': 9.662094192958389, 'l5': 388.32418838591684, 'l6': 386.51394604481027, 'l7': 259.8139003200731}",2,0.0
18,l4,"{'l1': 41.78402682517908, 'l2': 34.204694406340494, 'l3': 369.0092973632069, 'l4': 15.436823654930649, 'l5': 388.32418838591684, 'l6': 386.51394604481027, 'l7': 259.8139003200731}",2,0.9638683127572016
19,l5,"{'l1': 41.78402682517908, 'l2': 34.204694406340494, 'l3': 369.0092973632069, 'l4': 15.436823654930649, 'l5': 39.25758268556622, 'l6': 386.51394604481027, 'l7': 259.8139003200731}",2,0.9732510288065844
20,l6,"{'l1': 41.78402682517908, 'l2': 34.204694406340494, 'l3': 369.0092973632069, 'l4': 15.436823654930649, 'l5': 39.25758268556622, 'l6': 272.6265813138241, 'l7': 259.8139003200731}",2,0.9732510288065844
21,l7,"{'l1': 41.78402682517908, 'l2': 34.204694406340494, 'l3': 369.0092973632069, 'l4': 15.436823654930649, 'l5': 39.25758268556622, 'l6': 272.6265813138241, 'l7': 6.7747294619722584}",2,0.9732510288065844
