,current_lambda_param,current_params,iteration,loss
0,None,"{'l1': 170, 'l2': 90, 'l3': 161, 'l4': 787, 'l5': 347, 'l6': 469, 'l7': 269}",-1,-2.0
1,l1,"{'l1': 671.9908550525834, 'l2': 90, 'l3': 161, 'l4': 787, 'l5': 347, 'l6': 469, 'l7': 269}",0,0.9570370370370371
2,l2,"{'l1': 671.9908550525834, 'l2': 830.9538180155464, 'l3': 161, 'l4': 787, 'l5': 347, 'l6': 469, 'l7': 269}",0,-1.0
3,l3,"{'l1': 671.9908550525834, 'l2': 830.9538180155464, 'l3': 446.99634202103334, 'l4': 787, 'l5': 347, 'l6': 469, 'l7': 269}",0,-2.0
4,l4,"{'l1': 671.9908550525834, 'l2': 830.9538180155464, 'l3': 446.99634202103334, 'l4': 799.4860539551898, 'l5': 347, 'l6': 469, 'l7': 269}",0,-1.0
5,l5,"{'l1': 671.9908550525834, 'l2': 830.9538180155464, 'l3': 446.99634202103334, 'l4': 799.4860539551898, 'l5': 190.07727480566987, 'l6': 469, 'l7': 269}",0,-4.0
6,l6,"{'l1': 671.9908550525834, 'l2': 830.9538180155464, 'l3': 446.99634202103334, 'l4': 799.4860539551898, 'l5': 190.07727480566987, 'l6': 293.37951531778685, 'l7': 269}",0,0.971769547325103
7,l7,"{'l1': 671.9908550525834, 'l2': 830.9538180155464, 'l3': 446.99634202103334, 'l4': 799.4860539551898, 'l5': 190.07727480566987, 'l6': 293.37951531778685, 'l7': 600.9515317786922}",0,-0.07222222222222219
8,l1,"{'l1': 542.2737387593354, 'l2': 830.9538180155464, 'l3': 446.99634202103334, 'l4': 799.4860539551898, 'l5': 190.07727480566987, 'l6': 293.37951531778685, 'l7': 600.9515317786922}",1,-2.0
9,l2,"{'l1': 542.2737387593354, 'l2': 565.9365950312452, 'l3': 446.99634202103334, 'l4': 799.4860539551898, 'l5': 190.07727480566987, 'l6': 293.37951531778685, 'l7': 600.9515317786922}",1,0.9829629629629629
10,l3,"{'l1': 542.2737387593354, 'l2': 565.9365950312452, 'l3': 314.04221917390646, 'l4': 799.4860539551898, 'l5': 190.07727480566987, 'l6': 293.37951531778685, 'l7': 600.9515317786922}",1,0.9636213991769548
11,l4,"{'l1': 542.2737387593354, 'l2': 565.9365950312452, 'l3': 314.04221917390646, 'l4': 319.8169486358787, 'l5': 190.07727480566987, 'l6': 293.37951531778685, 'l7': 600.9515317786922}",1,-1.0
12,l5,"{'l1': 542.2737387593354, 'l2': 565.9365950312452, 'l3': 314.04221917390646, 'l4': 319.8169486358787, 'l5': 434.4543514708124, 'l6': 293.37951531778685, 'l7': 600.9515317786922}",1,-0.12407407407407411
13,l6,"{'l1': 542.2737387593354, 'l2': 565.9365950312452, 'l3': 314.04221917390646, 'l4': 319.8169486358787, 'l5': 434.4543514708124, 'l6': 728.5426002133821, 'l7': 600.9515317786922}",1,-4.0
14,l7,"{'l1': 542.2737387593354, 'l2': 565.9365950312452, 'l3': 314.04221917390646, 'l4': 319.8169486358787, 'l5': 434.4543514708124, 'l6': 728.5426002133821, 'l7': 285.6197226032617}",1,-1.0
15,l1,"{'l1': 579.5788921065555, 'l2': 565.9365950312452, 'l3': 314.04221917390646, 'l4': 319.8169486358787, 'l5': 434.4543514708124, 'l6': 728.5426002133821, 'l7': 285.6197226032617}",2,-5.0
16,l2,"{'l1': 579.5788921065555, 'l2': 755.5038696675642, 'l3': 314.04221917390646, 'l4': 319.8169486358787, 'l5': 434.4543514708124, 'l6': 728.5426002133821, 'l7': 285.6197226032617}",2,0.9896296296296296
17,l3,"{'l1': 579.5788921065555, 'l2': 755.5038696675642, 'l3': 468.30820166302567, 'l4': 319.8169486358787, 'l5': 434.4543514708124, 'l6': 728.5426002133821, 'l7': 285.6197226032617}",2,-0.12813051146384483
18,l4,"{'l1': 579.5788921065555, 'l2': 755.5038696675642, 'l3': 468.30820166302567, 'l4': 356.0493657809616, 'l5': 434.4543514708124, 'l6': 728.5426002133821, 'l7': 285.6197226032617}",2,-1.0
19,l5,"{'l1': 579.5788921065555, 'l2': 755.5038696675642, 'l3': 468.30820166302567, 'l4': 356.0493657809616, 'l5': 761.268573557554, 'l6': 728.5426002133821, 'l7': 285.6197226032617}",2,-0.30925925925925923
20,l6,"{'l1': 579.5788921065555, 'l2': 755.5038696675642, 'l3': 468.30820166302567, 'l4': 356.0493657809616, 'l5': 761.268573557554, 'l6': 643.5633456959474, 'l7': 285.6197226032617}",2,-0.12407407407407411
21,l7,"{'l1': 579.5788921065555, 'l2': 755.5038696675642, 'l3': 468.30820166302567, 'l4': 356.0493657809616, 'l5': 761.268573557554, 'l6': 643.5633456959474, 'l7': 133.1470643025284}",2,-2.0
