,current_lambda_param,current_params,iteration,loss
0,None,"{'l1': 979, 'l2': 973, 'l3': 466, 'l4': 473, 'l5': 268, 'l6': 231, 'l7': 665}",-1,0.9732510288065844
1,l1,"{'l1': 843.811614083219, 'l2': 973, 'l3': 466, 'l4': 473, 'l5': 268, 'l6': 231, 'l7': 665}",0,-2.0
2,l2,"{'l1': 843.811614083219, 'l2': 783.0416095107453, 'l3': 466, 'l4': 473, 'l5': 268, 'l6': 231, 'l7': 665}",0,-1.0
3,l3,"{'l1': 843.811614083219, 'l2': 783.0416095107453, 'l3': 264.1449474165523, 'l4': 473, 'l5': 268, 'l6': 231, 'l7': 665}",0,0.9577777777777777
4,l4,"{'l1': 843.811614083219, 'l2': 783.0416095107453, 'l3': 264.1449474165523, 'l4': 427.6758116140833, 'l5': 268, 'l6': 231, 'l7': 665}",0,-1.0026046326357743
5,l5,"{'l1': 843.811614083219, 'l2': 783.0416095107453, 'l3': 264.1449474165523, 'l4': 427.6758116140833, 'l5': 280.2848651120256, 'l6': 231, 'l7': 665}",0,-0.1166666666666667
6,l6,"{'l1': 843.811614083219, 'l2': 783.0416095107453, 'l3': 264.1449474165523, 'l4': 427.6758116140833, 'l5': 280.2848651120256, 'l6': 533.9048925468678, 'l7': 665}",0,0.9692181069958847
7,l7,"{'l1': 843.811614083219, 'l2': 783.0416095107453, 'l3': 264.1449474165523, 'l4': 427.6758116140833, 'l5': 280.2848651120256, 'l6': 533.9048925468678, 'l7': 618.5633287608596}",0,-4.0
8,l1,"{'l1': 473.04465782655086, 'l2': 783.0416095107453, 'l3': 264.1449474165523, 'l4': 427.6758116140833, 'l5': 280.2848651120256, 'l6': 533.9048925468678, 'l7': 618.5633287608596}",1,-0.07975653021807592
9,l2,"{'l1': 473.04465782655086, 'l2': 69.39445206523395, 'l3': 264.1449474165523, 'l4': 427.6758116140833, 'l5': 280.2848651120256, 'l6': 533.9048925468678, 'l7': 618.5633287608596}",1,-0.2055555555555556
10,l3,"{'l1': 473.04465782655086, 'l2': 69.39445206523395, 'l3': 272.4573997866179, 'l4': 427.6758116140833, 'l5': 280.2848651120256, 'l6': 533.9048925468678, 'l7': 618.5633287608596}",1,0.9829629629629629
11,l4,"{'l1': 473.04465782655086, 'l2': 69.39445206523395, 'l3': 272.4573997866179, 'l4': 598.0641670477062, 'l5': 280.2848651120256, 'l6': 533.9048925468678, 'l7': 618.5633287608596}",1,0.9728395061728395
12,l5,"{'l1': 473.04465782655086, 'l2': 69.39445206523395, 'l3': 272.4573997866179, 'l4': 598.0641670477062, 'l5': 486.22389879591526, 'l6': 533.9048925468678, 'l7': 618.5633287608596}",1,-0.003703703703703709
13,l6,"{'l1': 473.04465782655086, 'l2': 69.39445206523395, 'l3': 272.4573997866179, 'l4': 598.0641670477062, 'l5': 486.22389879591526, 'l6': 498.12863892699283, 'l7': 618.5633287608596}",1,-0.03518518518518521
14,l7,"{'l1': 473.04465782655086, 'l2': 69.39445206523395, 'l3': 272.4573997866179, 'l4': 598.0641670477062, 'l5': 486.22389879591526, 'l6': 498.12863892699283, 'l7': 159.94040542600214}",1,0.9855967078189302
15,l1,"{'l1': 527.8093447814526, 'l2': 69.39445206523395, 'l3': 272.4573997866179, 'l4': 598.0641670477062, 'l5': 486.22389879591526, 'l6': 498.12863892699283, 'l7': 159.94040542600214}",2,0.9732510288065844
16,l2,"{'l1': 527.8093447814526, 'l2': 257.5681721959728, 'l3': 272.4573997866179, 'l4': 598.0641670477062, 'l5': 486.22389879591526, 'l6': 498.12863892699283, 'l7': 159.94040542600214}",2,-1.0
17,l3,"{'l1': 527.8093447814526, 'l2': 257.5681721959728, 'l3': 319.98738335958274, 'l4': 598.0641670477062, 'l5': 486.22389879591526, 'l6': 498.12863892699283, 'l7': 159.94040542600214}",2,-0.07222222222222219
18,l4,"{'l1': 527.8093447814526, 'l2': 257.5681721959728, 'l3': 319.98738335958274, 'l4': 716.9204558925637, 'l5': 486.22389879591526, 'l6': 498.12863892699283, 'l7': 159.94040542600214}",2,-2.0
19,l5,"{'l1': 527.8093447814526, 'l2': 257.5681721959728, 'l3': 319.98738335958274, 'l4': 716.9204558925637, 'l5': 636.8562380395942, 'l6': 498.12863892699283, 'l7': 159.94040542600214}",2,-0.03518518518518521
20,l6,"{'l1': 527.8093447814526, 'l2': 257.5681721959728, 'l3': 319.98738335958274, 'l4': 716.9204558925637, 'l5': 636.8562380395942, 'l6': 313.5747768802181, 'l7': 159.94040542600214}",2,0.9813991769547324
21,l7,"{'l1': 527.8093447814526, 'l2': 257.5681721959728, 'l3': 319.98738335958274, 'l4': 716.9204558925637, 'l5': 636.8562380395942, 'l6': 313.5747768802181, 'l7': 249.9174075767583}",2,0.9807407407407407
